company,fiscal_year,capex_usd_b,era,source
Amazon,2020,57.98,pre_ai_boom,SEC
Amazon,2021,72.33,pre_ai_boom,SEC
Amazon,2022,60.84,pre_ai_boom,SEC
Amazon,2024,83.0,ai_boom,Earnings
Microsoft,2021,20.62,pre_ai_boom,SEC
Microsoft,2022,23.89,pre_ai_boom,SEC
Microsoft,2023,28.11,ai_boom,SEC
Microsoft,2024,44.48,ai_boom,SEC
Microsoft,2025,64.55,current,SEC
Alphabet,2021,24.64,pre_ai_boom,SEC
Alphabet,2022,31.48,pre_ai_boom,SEC
Alphabet,2023,32.25,ai_boom,SEC
Alphabet,2024,52.53,ai_boom,SEC
Alphabet,2025,91.45,current,SEC
Meta,2021,18.69,pre_ai_boom,SEC
Meta,2022,31.43,pre_ai_boom,SEC
Meta,2023,27.05,ai_boom,SEC
Meta,2024,37.26,ai_boom,SEC
Meta,2025,69.69,current,SEC
Oracle,2023,8.7,pre_ai_boom,SEC
Oracle,2025,21.21,ai_boom,SEC
Oracle,2026,55.66,current,SEC
